fast,slow,signal,param_str,avg_return,median_return,std_return,avg_drawdown,max_drawdown_worst,avg_win_rate,avg_sharpe,avg_trades,stocks,score
12,30,9,"(12,30,9)",5.3912375,1.0,16.0432472427995,8.0520125,30.83,44.820562499999994,0.2247625,2.05625,800,0.26076312500000004
9,30,9,"(9,30,9)",5.305875000000001,1.165,15.615251326327572,8.055675,30.46,44.719562499999995,0.22644999999999998,2.335,800,0.258638625
10,30,9,"(10,30,9)",5.2508375,1.15,15.370673201704397,8.0733625,30.83,45.203824999999995,0.227375,2.235,800,0.25814915000000005
8,30,9,"(8,30,9)",5.2171625,0.945,15.200574572153307,8.0475125,30.48,43.788599999999995,0.2235125,2.4725,800,0.25302195000000005
12,26,9,"(12,26,9)",5.0091,0.87,15.25176177331655,8.2179625,30.83,44.378812499999995,0.1794875,2.25375,800,0.228646
7,30,9,"(7,30,9)",4.9122625,0.665,14.5618966572385,8.091387500000002,26.05,42.215125,0.19297500000000004,2.62,800,0.22807424999999998
12,30,7,"(12,30,7)",5.0804,0.975,15.1724369364318,8.1689,30.83,42.8183,0.1788125,2.41875,800,0.2278846
12,22,9,"(12,22,9)",4.8223125,1.0,14.825155143449384,8.3804,29.09,44.2537625,0.17248750000000002,2.48875,800,0.21836790000000006
10,26,9,"(10,26,9)",4.8890875,0.71,14.928494784885173,8.235750000000001,30.46,42.93915,0.15994999999999998,2.47875,800,0.21417342499999997
10,30,7,"(10,30,7)",4.896850000000001,0.63,14.89316559122002,8.1893125,26.8,42.111762500000005,0.1591875,2.62625,800,0.21291090000000001
6,30,9,"(6,30,9)",4.8118875,0.6,14.872343680884455,8.18525,26.0,39.927625,0.16566250000000005,2.87125,800,0.20862437500000003
9,26,9,"(9,26,9)",4.8388124999999995,0.5700000000000001,14.81443503697808,8.257375,30.48,41.85594999999999,0.15133749999999999,2.59375,800,0.20683752499999997
10,22,9,"(10,22,9)",4.6632,0.56,14.462092466513965,8.3601625,30.48,42.60748749999999,0.1570875,2.69125,800,0.20434434999999995
12,26,7,"(12,26,7)",4.804125,0.62,14.92740486435519,8.3449375,30.48,41.926362499999996,0.14465,2.65125,800,0.2023871
9,30,7,"(9,30,7)",4.6852625,0.59,14.372963244616392,8.22135,26.05,40.989337500000005,0.14105,2.74,800,0.19674305000000003
9,22,9,"(9,22,9)",4.5472125,0.51,14.378140086772133,8.39435,29.38,41.864650000000005,0.14489999999999997,2.81625,800,0.19416217499999994
5,30,9,"(5,30,9)",4.557275,0.535,14.311712234193887,8.2470375,26.62,38.180275,0.148375,3.165,800,0.18995842500000004
8,26,9,"(8,26,9)",4.6361375,0.515,14.464304993883866,8.29775,29.16,41.42113750000001,0.1274625,2.72875,800,0.18993390000000002
12,20,9,"(12,20,9)",4.523499999999999,0.67,14.761634132100687,8.6421375,30.47,41.648925,0.13510000000000003,2.7375,800,0.18662147499999993
12,18,9,"(12,18,9)",4.67245,0.25,15.45442805468711,8.9449,30.42,40.34344999999999,0.1252375,2.98375,800,0.1815064
8,30,7,"(8,30,7)",4.565075,0.39,14.561915189781013,8.295150000000001,26.0,39.507549999999995,0.11737500000000002,2.9325,800,0.17996585000000004
10,26,7,"(10,26,7)",4.489475,0.43,14.324236985765594,8.3440125,26.05,40.9206125,0.11387499999999999,2.85875,800,0.17863535
8,22,9,"(8,22,9)",4.360525,0.72,14.213222100367496,8.466824999999998,25.74,40.76385,0.12131250000000002,2.99625,800,0.17620020000000003
10,20,9,"(10,20,9)",4.4479500000000005,0.22,14.827841997320446,8.7013,29.35,40.96654999999999,0.11125000000000002,2.9525,800,0.17285859999999997
7,26,9,"(7,26,9)",4.4485,0.28,14.517382606723569,8.354812500000001,25.74,39.4797875,0.10362500000000001,2.93125,800,0.17031645
12,30,5,"(12,30,5)",4.457725,0.485,14.364778029067313,8.3488875,28.51,38.582275,0.10612500000000001,2.9525,800,0.169857425
7,30,7,"(7,30,7)",4.350625,0.505,14.35209141934983,8.309099999999999,27.08,38.45545,0.10696250000000003,3.1575,800,0.16712364999999998
9,26,7,"(9,26,7)",4.3745625,0.405,14.445799763550434,8.4102,25.74,39.5194,0.09972500000000001,3.0075,800,0.16606367500000002
6,26,9,"(6,26,9)",4.319975,0.49,14.304515738023955,8.3661375,26.62,38.576775,0.10126249999999999,3.18875,800,0.16359642500000002
7,22,9,"(7,22,9)",4.209225,0.545,14.109217178829411,8.4811,25.76,39.627275,0.104975,3.2075,800,0.1627103
8,26,7,"(8,26,7)",4.3004125,0.545,14.302136176279534,8.422237500000001,26.62,38.8485,0.099025,3.1875,800,0.16209700000000002
12,22,7,"(12,22,7)",4.4063,0.22,15.052666127965503,8.759625,29.29,39.88408749999999,0.0933375,2.99875,800,0.16169592499999996
9,20,9,"(9,20,9)",4.3277,0.29,14.761766305561133,8.763525,26.24,39.9735875,0.09837499999999999,3.09875,800,0.161492925
12,15,9,"(12,15,9)",4.5824375,0.15000000000000002,15.559095778148347,9.1921,26.99,39.485524999999996,0.09149999999999998,3.305,800,0.16112317499999998
10,18,9,"(10,18,9)",4.4828375000000005,0.25,15.258468888574427,9.053675,25.85,39.31945,0.08808750000000001,3.23875,800,0.15782227500000004
12,13,9,"(12,13,9)",4.48515,0.325,15.315683839695176,9.260299999999999,26.9,39.358275,0.08951249999999998,3.50125,800,0.15647305
